a|b|paa|pbb|pab|acore|bcore|sbm_pmat|na|N|taa|tbb
02|03|0.07025018443241851|0.8517113843076481|0.07803843125993336|(1.043130979627322, 0.5025125628140703)|(0.08610627703755387, 0.11557788944723618)|(0.0001237254166367403, 3.8289222431585546e-05, 0.0004657025286134497)|0.2753293154557412|42708|0.6429081187625315|0.9561941448596247
02|04|0.17043897594217985|0.7884216131483376|0.041139410909482525|(0.9656188170274246, 0.4371859296482412)|(0.20874681984489035, 0.12562814070351758)|(0.00029397110736750087, 3.0419718858091534e-05, 0.000999850298640176)|0.4654365645637673|24808|0.8923101018010963|0.9745736388243821
02|05|0.08767322081409519|0.7038757430393838|0.208451036146521|(0.8620750288037404, 0.5628140703517588)|(0.10738723341257381, 0.25125628140703515)|(7.278371833626696e-05, 4.900156119073088e-05, 0.0001874238414930213)|0.24456806054476338|47897|0.45687231360889374|0.871024185843051
02|06|0.8485334759739681|0.13634067338266323|0.015125850643368697|(0.16700973237911626, 0.08542713567839195)|(1.0392417083914711, 0.4371859296482412)|(0.0004257624228682106, 3.3218068593158015e-05, 0.005246408531474449)|0.9183473022524882|12224|0.9911658017598972|0.947444501806918
02|07|0.8019955030916245|0.1498875772906127|0.048116919617762786|(0.18360694227257246, 0.12060301507537688)|(0.9822434718134239, 0.4472361809045226)|(0.0003949688156652093, 4.554443113316221e-05, 0.0010911506718873306)|0.7955641272902604|13977|0.9708754380592698|0.861690095330425
02|11|0.15560634476272753|0.7991645296925491|0.04522912554472336|(0.9787786662448966, 0.4472361809045226)|(0.19060903605538418, 0.12060301507537688)|(0.0002778940972633832, 2.1810434837634602e-05, 0.0004162777235452815)|0.3474544778892605|33573|0.87310937260316|0.9724809708841219
02|12|0.1105465611402443|0.8751227540377831|0.014330684821972682|(1.0718022320537013, 0.45226130653266333)|(0.1353954639559407, 0.07035175879396985)|(0.0003468157974595743, 1.0417582296529945e-05, 0.000589691567746678)|0.3344062947067239|35916|0.939128140869221|0.9918786817595896
02|13|0.15750429788339607|0.8370507951775261|0.005444906939077849|(1.0251770422294098, 0.4221105527638191)|(0.19291042473186706, 0.08542713567839195)|(0.0004112487213156795, 4.238115922805468e-06, 0.0007770040543217196)|0.4099798298693326|29144|0.9830087457521864|0.9967581088419701
02|14|0.17478829798323553|0.8169153130614473|0.008296388955317232|(1.0005129497907657, 0.4170854271356784)|(0.21407128376903467, 0.09547738693467336)|(0.0003985887121019112, 6.450766396818346e-06, 0.0008664228269822843)|0.43966895513965953|27086|0.9768175042407004|0.9949477787776837
02|21|0.2195518250423533|0.7583782535037733|0.022069921453873403|(0.9288204837799902, 0.4020100502512563)|(0.2689002607925665, 0.1306532663316583)|(0.0003682031862728955, 1.5720751619776345e-05, 0.0009179202588709798)|0.4856806454964158|24146|0.9521440021373231|0.9856579526802515
